title,item_url,artist_name,author,img,publication_datetime,wiki_link,spotify_link,spotify_about
"Jackie Shane, Soul Singer and Transgender Pioneer, Dead at 78",https://www.rollingstone.com/music/music-news/jackie-shane-soul-singer-transgender-obituary-798820/,LGBT,Jerry Portwood,https://www.rollingstone.com/wp-content/uploads/2019/02/jackie-shane-obit.jpg?crop=900:600&width=440,"February 22, 2019 3:17PM ",https://en.wikipedia.org/wiki/LGBT,https://open.spotify.com/artist/6X4fGVjTm2GMk4gKgvybYl,https://open.spotify.com/artist/6X4fGVjTm2GMk4gKgvybYl/about
Inside Motley Crue’s First New Songs Since Their Final Concert,https://www.rollingstone.com/music/music-features/motley-crue-the-dirt-soundtrack-interview-798822/,Machine Gun Kelly,Kory Grow,https://www.rollingstone.com/wp-content/uploads/2019/02/MC-Press-Shot-2W.jpg?crop=900:600&width=440,"February 22, 2019 4:22PM ",https://en.wikipedia.org/wiki/Machine_Gun_Kelly,https://open.spotify.com/artist/6TIYQ3jFPwQSRmorSezPxX,https://open.spotify.com/artist/6TIYQ3jFPwQSRmorSezPxX/about
Review: Gary Clark Jr. Fights for Freedom on ‘This Land’,https://www.rollingstone.com/music/music-album-reviews/gary-clark-jr-this-land-review-799001/,Gary Clark Jr.,Jonathan Bernstein,https://www.rollingstone.com/wp-content/uploads/2019/02/IMG_6108W.jpg?crop=900:600&width=440,"February 22, 2019 4:41PM ",https://en.wikipedia.org/wiki/Gary_Clark_Jr.,https://open.spotify.com/artist/01aC2ikO4Xgb2LUpf9JfKp,https://open.spotify.com/artist/01aC2ikO4Xgb2LUpf9JfKp/about
"Song You Need to Know: Hether Fortune, ‘Sister’",https://www.rollingstone.com/music/music-features/hether-fortune-sister-song-you-need-to-know-797054/,Song You Need to Know,Jon Blistein,https://www.rollingstone.com/wp-content/uploads/2019/02/hether-fortune-sister.jpg?crop=900:600&width=440,"February 22, 2019 4:20PM ",https://en.wikipedia.org/wiki/Song_You_Need_to_Know,Artiste has no spotify link,Artiste has no spotify about
"RS Daily News: Kendrick Lamar and SZA Skipping Oscars; ‘Space Jam 2,’ Offset’s Album",https://www.rollingstone.com/music/music-news/oscars-2019-kendrick-lamar-sza-space-jam-2-offset-album-799099/,direct,Rolling Stone,https://www.rollingstone.com/wp-content/uploads/2019/02/RSnews_190222_Photo.jpg?crop=900:600&width=440,"February 22, 2019 5:41PM ",https://en.wikipedia.org/wiki/direct,https://open.spotify.com/artist/5eOyDcFvvdc7D7BD6gCdsi,https://open.spotify.com/artist/5eOyDcFvvdc7D7BD6gCdsi/about
Billie Eilish’s Teenage Truths,https://www.rollingstone.com/music/music-features/billie-eilish-album-songs-interview-tour-tickets-797040/,Billie Eilish,Jonah Weiner,https://www.rollingstone.com/wp-content/uploads/2019/02/billie-eilish-teenage-truths.jpg?crop=900:600&width=440,"February 22, 2019 12:47PM ",https://en.wikipedia.org/wiki/Billie_Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH/about
Ray Charles and Country’s Color Barrier,https://www.rollingstone.com/music/music-country/ray-charles-modern-sounds-country-music-798729/,Elvis Presley,David Cantwell,https://www.rollingstone.com/wp-content/uploads/2019/02/Charles_SmokeyPlaid_Final1.jpg?crop=900:600&width=440,"February 22, 2019 1:14PM ",https://en.wikipedia.org/wiki/Elvis_Presley,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE/about
R. Kelly Charged With 10 Counts of Aggravated Criminal Sexual Abuse,https://www.rollingstone.com/music/music-news/r-kelly-charged-aggravated-criminal-sexual-abuse-chicago-798957/,R. Kelly,Daniel Kreps,https://www.rollingstone.com/wp-content/uploads/2019/02/GettyImages-630616998w.jpg?crop=900:600&width=440,"February 22, 2019 1:49PM ",https://en.wikipedia.org/wiki/R._Kelly,https://open.spotify.com/artist/2mxe0TnaNL039ysAj51xPQ,https://open.spotify.com/artist/2mxe0TnaNL039ysAj51xPQ/about
"Watch Now: Venezuela Aid Live Concert Starring Juanes, Lele Pons, Luis Fonsi and More",https://www.rollingstone.com/music/music-latin/watch-venezuela-aid-live-concert-richard-branson-lele-pons-798715/,Latin,Suzy Exposito,https://www.rollingstone.com/wp-content/uploads/2019/02/watch-now-venezuelan-live-aid.jpg?crop=900:600&width=440,"February 22, 2019 1:47PM ",https://en.wikipedia.org/wiki/Latin,https://open.spotify.com/artist/5WQwioJgA1ixuXQAPLIy3T,https://open.spotify.com/artist/5WQwioJgA1ixuXQAPLIy3T/about
Review: Aussie Singer-Songwriter Julia Jacklin Makes Her Breakthrough With ‘Crushing’,https://www.rollingstone.com/music/music-album-reviews/julia-jacklin-crushing-album-review-797642/,Julia Jacklin,Jonathan Bernstein,https://www.rollingstone.com/wp-content/uploads/2019/02/julia-jacklin-review.jpg?crop=900:600&width=440,"February 22, 2019 1:37PM ",https://en.wikipedia.org/wiki/Julia_Jacklin,https://open.spotify.com/artist/12fRkVfO2fUsz1QHgDAG3g,https://open.spotify.com/artist/12fRkVfO2fUsz1QHgDAG3g/about
"Song You Need to Know: Kyle Daniel, ‘Born to Lose’",https://www.rollingstone.com/music/music-news/kyle-daniel-born-to-lose-song-you-need-to-know-798615/,Song You Need to Know,Joseph Hudak,https://www.rollingstone.com/wp-content/uploads/2019/02/Kyle-Daniel_1-_-Sean-Marshall-.jpg?crop=900:600&width=440,"February 22, 2019 11:32AM ",https://en.wikipedia.org/wiki/Song_You_Need_to_Know,Artiste has no spotify link,Artiste has no spotify about
